date,close,市盈率,市盈率估值,市净率,市净率估值
2013-03-06,22777.84,10.65,偏高,1.5,高估
2013-03-07,22771.44,10.63,偏高,1.5,高估
2013-03-08,23091.949,10.8,高估,1.53,高估
2013-03-11,23090.82,10.78,高估,1.52,高估
2013-03-12,22890.6,10.69,偏高,1.51,高估
2013-03-13,22556.65,10.51,偏高,1.49,高估
2013-03-14,22619.18,10.52,偏高,1.48,高估
2013-03-15,22533.109,10.46,偏高,1.47,高估
2013-03-18,22083.359,10.23,偏高,1.44,高估
2013-03-19,22041.859,10.19,偏高,1.44,高估
2013-03-20,22256.44,10.32,偏高,1.45,高估
2013-03-21,22225.881,10.29,偏高,1.45,高估
2013-03-22,22115.301,10.23,偏高,1.43,高估
2013-03-25,22251.15,10.17,偏高,1.43,高估
2013-03-26,22311.08,10.09,偏高,1.42,高估
2013-03-27,22464.82,10.06,偏高,1.42,高估
2013-03-28,22299.631,9.99,偏高,1.41,高估
2013-04-02,22367.82,10.0,偏高,1.41,高估
2013-04-03,22337.49,9.98,偏高,1.41,高估
2013-04-05,21726.9,9.7,偏高,1.37,高估
2013-04-08,21718.051,9.69,偏高,1.37,高估
2013-04-09,21870.34,9.78,偏高,1.38,高估
2013-04-10,22034.561,9.85,偏高,1.39,高估
2013-04-11,22101.27,9.87,偏高,1.39,高估
2013-04-12,22089.051,9.86,偏高,1.39,高估
2013-04-15,21772.67,9.7,偏高,1.37,高估
2013-04-16,21672.029,9.65,正常,1.36,高估
2013-04-17,21569.67,9.58,正常,1.35,高估
2013-04-18,21512.52,9.55,正常,1.35,高估
2013-04-19,22013.57,9.79,偏高,1.38,高估
2013-04-22,22044.369,9.8,偏高,1.38,高估
2013-04-23,21806.609,9.69,偏高,1.37,高估
2013-04-24,22183.051,9.85,偏高,1.39,高估
2013-04-25,22401.24,9.91,偏高,1.39,高估
2013-04-26,22547.711,9.85,偏高,1.38,高估
2013-04-29,22579.461,9.86,偏高,1.38,高估
2013-04-30,22737.01,9.93,偏高,1.39,高估
2013-05-02,22668.301,9.88,偏高,1.38,高估
2013-05-03,22689.961,9.87,偏高,1.38,高估
2013-05-06,22915.09,9.98,偏高,1.39,高估
2013-05-07,23047.09,10.05,偏高,1.41,高估
2013-05-08,23244.35,10.16,偏高,1.42,高估
2013-05-09,23211.481,10.15,偏高,1.42,高估
2013-05-10,23321.221,10.19,偏高,1.43,高估
2013-05-13,22989.811,10.03,偏高,1.4,高估
2013-05-14,22930.279,9.99,偏高,1.4,高估
2013-05-15,23044.24,10.03,偏高,1.4,高估
2013-05-16,23082.68,10.02,偏高,1.4,高估
2013-05-20,23493.029,10.18,偏高,1.42,高估
2013-05-21,23366.369,10.1,偏高,1.41,高估
2013-05-22,23261.08,10.06,偏高,1.41,高估
2013-05-23,22669.68,9.8,偏高,1.37,高估
2013-05-24,22618.231,9.78,偏高,1.37,高估
2013-05-27,22691.26,9.81,偏高,1.37,高估
2013-05-28,22924.25,9.92,偏高,1.39,高估
2013-05-29,22554.93,9.75,偏高,1.36,高估
2013-05-30,22484.311,9.72,偏高,1.36,高估
2013-05-31,22406.971,9.67,正常,1.35,高估
2013-06-03,22290.311,9.62,正常,1.35,高估
2013-06-04,22285.26,9.62,正常,1.35,高估
2013-06-05,22069.24,9.54,正常,1.33,高估
2013-06-06,21838.43,9.44,正常,1.32,高估
2013-06-07,21575.26,9.32,正常,1.3,偏高
2013-06-10,21615.09,9.31,正常,1.3,偏高
2013-06-11,21364.76,9.19,正常,1.29,偏高
2013-06-13,20891.211,8.96,低估,1.25,偏高
2013-06-14,20969.141,8.97,低估,1.25,偏高
2013-06-17,21225.9,9.11,正常,1.28,偏高
2013-06-18,21225.881,9.12,正常,1.28,偏高
2013-06-19,20971.641,9.0,低估,1.26,偏高
2013-06-20,20382.869,8.73,低估,1.23,偏高
2013-06-21,20263.311,8.69,低估,1.22,偏高
2013-06-24,19809.94,8.49,低估,1.19,偏高
2013-06-25,19855.721,8.48,低估,1.19,偏高
2013-06-26,20338.551,8.71,低估,1.22,偏高
2013-06-27,20440.08,8.74,低估,1.23,偏高
2013-06-28,20803.289,8.92,低估,1.25,偏高
2013-07-02,20633.16,8.86,低估,1.24,偏高
2013-07-03,20160.74,8.63,低估,1.21,偏高
2013-07-04,20468.67,8.78,低估,1.23,偏高
2013-07-05,20854.67,8.95,低估,1.26,偏高
2013-07-08,20582.19,8.83,低估,1.24,偏高
2013-07-09,20683.01,8.86,低估,1.24,偏高
2013-07-10,20904.561,8.97,低估,1.26,偏高
2013-07-11,21442.609,9.21,正常,1.29,偏高
2013-07-12,21277.279,9.13,正常,1.28,偏高
2013-07-15,21303.311,9.14,正常,1.28,偏高
2013-07-16,21312.381,9.13,正常,1.28,偏高
2013-07-17,21371.869,9.17,正常,1.29,偏高
2013-07-18,21345.221,9.17,正常,1.29,偏高
2013-07-19,21362.42,9.17,正常,1.29,偏高
2013-07-22,21416.5,9.17,正常,1.29,偏高
2013-07-23,21915.42,9.43,正常,1.32,高估
2013-07-24,21971.971,9.43,正常,1.32,高估
2013-07-25,21900.961,9.4,正常,1.32,高估
2013-07-26,21968.949,9.4,正常,1.32,高估
2013-07-29,21850.15,9.33,正常,1.31,高估
2013-07-30,21953.961,9.37,正常,1.32,高估
2013-07-31,21883.66,9.35,正常,1.31,高估
2013-08-01,22098.59,9.42,正常,1.32,高估
2013-08-02,22190.971,9.45,正常,1.33,高估
2013-08-05,22222.01,9.33,正常,1.33,高估
2013-08-06,21923.699,9.22,正常,1.31,高估
2013-08-07,21588.84,9.08,正常,1.29,偏高
2013-08-08,21655.881,9.11,正常,1.3,偏高
2013-08-09,21807.561,9.17,正常,1.31,高估
2013-08-12,22271.279,9.4,正常,1.34,高估
2013-08-13,22541.131,9.55,正常,1.36,高估
2013-08-15,22539.25,9.53,正常,1.35,高估
