date,close,市盈率,市盈率估值,市净率,市净率估值
2019-09-10,767.57,32.29,高估,1.78,偏高
2019-09-11,774.2,32.46,高估,1.79,偏高
2019-09-12,785.27,32.89,高估,1.81,高估
2019-09-16,773.54,32.33,高估,1.78,偏高
2019-09-17,751.63,31.5,高估,1.74,偏高
2019-09-18,746.64,31.24,高估,1.72,偏高
2019-09-19,752.29,31.51,高估,1.74,偏高
2019-09-20,748.01,31.38,高估,1.73,偏高
2019-09-23,736.88,30.91,高估,1.71,偏高
2019-09-24,737.81,30.89,高估,1.7,偏高
2019-09-25,732.34,30.64,高估,1.69,偏高
2019-09-26,722.91,30.14,高估,1.66,偏高
2019-09-27,727.95,30.33,高估,1.67,偏高
2019-09-30,711.09,29.65,高估,1.64,偏高
2019-10-08,706.52,29.52,高估,1.63,正常
2019-10-09,708.29,29.68,高估,1.64,偏高
2019-10-10,713.84,29.91,高估,1.65,偏高
2019-10-11,727.16,30.49,高估,1.68,偏高
2019-10-14,737.65,30.89,高估,1.7,偏高
2019-10-15,728.24,30.42,高估,1.68,偏高
2019-10-16,725.01,30.18,高估,1.67,偏高
2019-10-17,721.35,30.03,高估,1.66,偏高
2019-10-18,705.2,29.32,高估,1.62,正常
2019-10-21,698.52,28.84,高估,1.6,正常
2019-10-22,702.85,28.96,高估,1.6,正常
2019-10-23,697.28,28.73,高估,1.59,正常
2019-10-24,700.2,28.83,高估,1.6,正常
2019-10-25,708.34,29.13,高估,1.62,正常
2019-10-28,718.94,29.48,高估,1.64,偏高
2019-10-29,703.54,28.02,高估,1.6,正常
2019-10-30,697.49,26.86,高估,1.57,正常
2019-10-31,696.89,25.41,高估,1.56,正常
2019-11-01,706.34,25.74,高估,1.58,正常
2019-11-04,707.3,25.8,高估,1.58,正常
2019-11-05,716.94,26.17,高估,1.61,正常
2019-11-06,709.07,25.85,高估,1.59,正常
2019-11-07,712.68,25.94,高估,1.59,正常
2019-11-08,703.05,25.62,高估,1.57,正常
2019-11-11,689.69,25.16,高估,1.54,正常
2019-11-12,691.67,25.24,高估,1.55,正常
2019-11-13,684.54,24.96,高估,1.53,正常
2019-11-14,685.04,25.03,高估,1.54,正常
2019-11-15,677.62,24.77,偏高,1.52,正常
2019-11-18,686.56,25.07,高估,1.54,正常
2019-11-19,692.3,25.29,高估,1.55,正常
2019-11-20,681.08,24.87,偏高,1.53,正常
2019-11-21,681.4,24.87,偏高,1.53,正常
2019-11-22,679.23,24.79,偏高,1.52,正常
2019-11-25,682.86,24.94,高估,1.53,正常
2019-11-26,683.3,24.93,高估,1.53,正常
2019-11-27,677.45,24.7,偏高,1.52,正常
2019-11-28,677.1,24.68,偏高,1.51,正常
2019-11-29,680.03,24.78,偏高,1.52,正常
2019-12-02,684.91,24.98,高估,1.53,正常
2019-12-03,689.48,25.17,高估,1.54,正常
2019-12-04,687.42,25.08,高估,1.54,正常
2019-12-05,698.26,25.45,高估,1.56,正常
2019-12-06,701.25,25.53,高估,1.57,正常
2019-12-09,700.13,25.48,高估,1.56,正常
2019-12-10,698.72,25.4,高估,1.56,正常
2019-12-11,699.6,25.46,高估,1.56,正常
2019-12-12,695.6,25.3,高估,1.55,正常
2019-12-13,721.75,26.42,高估,1.62,正常
2019-12-16,733.71,28.06,高估,1.72,偏高
2019-12-17,754.23,28.81,高估,1.77,偏高
2019-12-18,756.52,28.98,高估,1.78,偏高
2019-12-19,752.84,28.82,高估,1.77,偏高
2019-12-20,755.75,28.94,高估,1.78,偏高
2019-12-23,736.57,28.1,高估,1.73,偏高
2019-12-24,744.18,28.51,高估,1.75,偏高
2019-12-25,745.15,28.51,高估,1.75,偏高
2019-12-26,764.65,29.39,高估,1.81,高估
2019-12-27,748.12,28.67,高估,1.76,偏高
2019-12-30,791.09,30.27,高估,1.86,高估
2019-12-31,788.03,30.18,高估,1.85,高估
2020-01-02,793.18,30.49,高估,1.87,高估
2020-01-03,792.17,30.38,高估,1.87,高估
2020-01-06,792.61,30.35,高估,1.87,高估
2020-01-07,797.97,30.62,高估,1.88,高估
2020-01-08,772.17,29.59,高估,1.82,高估
2020-01-09,784.73,30.05,高估,1.85,高估
2020-01-10,785.84,30.09,高估,1.85,高估
2020-01-13,796.25,30.54,高估,1.88,高估
2020-01-14,786.08,30.24,高估,1.85,高估
2020-01-15,782.31,30.14,高估,1.84,高估
2020-01-16,777.92,30.02,高估,1.83,高估
2020-01-17,781.02,29.93,高估,1.83,高估
2020-01-20,793.16,30.11,高估,1.86,高估
2020-01-21,778.12,29.55,高估,1.82,高估
2020-01-22,784.03,30.09,高估,1.86,高估
2020-01-23,750.09,28.52,高估,1.77,偏高
2020-02-03,675.16,25.67,高估,1.6,正常
2020-02-04,674.23,25.64,高估,1.59,正常
2020-02-05,684.04,25.97,高估,1.61,正常
2020-02-06,702.72,26.73,高估,1.66,偏高
2020-02-07,704.75,26.8,高估,1.67,偏高
2020-02-10,712.05,27.07,高估,1.68,偏高
2020-02-11,710.3,27.0,高估,1.68,偏高
2020-02-12,721.46,27.42,高估,1.7,偏高
2020-02-13,708.83,26.91,高估,1.67,偏高
2020-02-14,721.91,27.36,高估,1.7,偏高
2020-02-17,758.12,28.58,高估,1.78,偏高
2020-02-18,753.55,28.38,高估,1.77,偏高
2020-02-19,755.58,28.38,高估,1.77,偏高
2020-02-20,803.56,30.33,高估,1.88,高估
2020-02-21,804.17,30.28,高估,1.88,高估
2020-02-24,804.04,30.32,高估,1.88,高估
2020-02-25,812.73,30.59,高估,1.9,高估
2020-02-26,796.21,30.03,高估,1.86,高估
2020-02-27,797.05,30.01,高估,1.86,高估
2020-02-28,746.48,27.92,高估,1.74,偏高
2020-03-02,782.78,29.26,高估,1.82,高估
2020-03-03,790.45,29.56,高估,1.84,高估
2020-03-04,813.64,30.51,高估,1.9,高估
2020-03-05,836.03,31.54,高估,1.97,高估
2020-03-06,806.97,30.34,高估,1.89,高估
2020-03-09,782.67,29.56,高估,1.84,高估
2020-03-10,808.59,30.58,高估,1.91,高估
2020-03-11,784.62,29.34,高估,1.83,高估
2020-03-12,774.98,28.98,高估,1.81,高估
2020-03-13,770.02,28.98,高估,1.8,偏高
2020-03-16,724.38,27.18,高估,1.68,偏高
2020-03-17,727.86,27.24,高估,1.69,偏高
2020-03-18,704.92,26.34,高估,1.63,正常
2020-03-19,713.99,26.72,高估,1.65,偏高
2020-03-20,720.08,26.97,高估,1.67,偏高
2020-03-23,691.94,25.88,高估,1.61,正常
2020-03-24,706.85,26.47,高估,1.64,偏高
2020-03-25,718.73,26.96,高估,1.67,偏高
2020-03-26,707.98,26.55,高估,1.64,偏高
2020-03-27,711.34,26.58,高估,1.66,偏高
2020-03-30,703.64,25.95,高估,1.66,偏高
2020-03-31,700.43,25.36,高估,1.64,偏高
2020-04-01,698.11,25.23,高估,1.64,偏高
2020-04-02,711.6,25.68,高估,1.66,偏高
2020-04-03,700.6,25.28,高估,1.63,正常
2020-04-07,717.11,25.9,高估,1.68,偏高
2020-04-08,714.36,25.79,高估,1.67,偏高
2020-04-09,721.15,26.0,高估,1.68,偏高
2020-04-10,710.11,25.6,高估,1.66,偏高
2020-04-13,705.08,25.4,高估,1.64,偏高
2020-04-14,723.27,26.17,高估,1.69,偏高
2020-04-15,713.97,25.88,高估,1.67,偏高
2020-04-16,721.87,26.31,高估,1.7,偏高
2020-04-17,718.96,26.14,高估,1.69,偏高
2020-04-20,721.76,26.14,高估,1.69,偏高
2020-04-21,709.46,25.69,高估,1.66,偏高
2020-04-22,711.0,25.76,高估,1.67,偏高
2020-04-23,704.28,25.48,高估,1.65,偏高
2020-04-24,692.28,25.02,高估,1.62,正常
2020-04-27,690.33,25.28,高估,1.61,正常
2020-04-28,698.88,25.65,高估,1.63,正常
2020-04-29,700.77,25.69,高估,1.61,正常
2020-04-30,716.77,26.77,高估,1.64,偏高
2020-05-06,718.63,26.88,高估,1.64,偏高
2020-05-07,713.75,26.72,高估,1.63,正常
2020-05-08,726.89,27.23,高估,1.67,偏高
2020-05-11,721.45,27.04,高估,1.65,偏高
2020-05-12,718.92,27.01,高估,1.65,偏高
2020-05-13,720.52,27.05,高估,1.66,偏高
2020-05-14,710.33,26.66,高估,1.63,正常
2020-05-15,711.13,26.69,高估,1.63,正常
2020-05-18,707.46,26.56,高估,1.63,正常
2020-05-19,711.7,26.72,高估,1.64,偏高
2020-05-20,707.61,26.58,高估,1.63,正常
2020-05-21,700.8,26.29,高估,1.61,正常
2020-05-22,682.71,25.58,高估,1.57,正常
2020-05-25,680.94,25.5,高估,1.56,正常
2020-05-26,688.96,25.82,高估,1.58,正常
2020-05-27,681.01,25.49,高估,1.56,正常
2020-05-28,690.43,25.86,高估,1.59,正常
2020-05-29,685.12,25.65,高估,1.57,正常
2020-06-01,715.56,26.83,高估,1.65,偏高
2020-06-02,713.15,26.73,高估,1.64,偏高
2020-06-03,705.64,26.43,高估,1.62,正常
2020-06-04,702.88,26.31,高估,1.62,正常
2020-06-05,709.84,26.65,高估,1.64,偏高
2020-06-08,706.51,26.5,高估,1.63,正常
2020-06-09,714.24,26.76,高估,1.64,偏高
2020-06-10,707.89,26.52,高估,1.63,正常
2020-06-11,703.86,26.36,高估,1.62,正常
2020-06-12,701.22,26.22,高估,1.61,正常
2020-06-15,700.52,27.24,高估,1.62,正常
2020-06-16,708.23,27.55,高估,1.64,偏高
2020-06-17,705.81,27.47,高估,1.64,偏高
2020-06-18,713.61,27.72,高估,1.65,偏高
2020-06-19,738.45,28.85,高估,1.72,偏高
2020-06-22,757.44,29.59,高估,1.76,偏高
2020-06-23,765.06,29.9,高估,1.78,偏高
